query,link,score_description,score,,Searches - GA4 Item-list view events (3 months Feb to April),Clicks - GA4 Item-list click events (3 months Feb to April),Item-list CTR,Weighted sort (Expected True Value),clusterID
passeport,,,,,74,2,3%,62.97%,1350
larry,,,,,93,14,15%,62.97%,1290
electricity,,,,,339,169,50%,62.97%,606
national security number,,,,,85,9,11%,62.97%,315
ready to pass,,,,,158,55,35%,62.97%,775
bivs,,,,,158,55,35%,62.97%,1323
service charge,,,,,104,21,20%,62.97%,422
loads,,,,,77,4,5%,62.97%,613
cf 83 form,,,,,77,4,5%,62.97%,1380
form cf 83,,,,,77,4,5%,62.97%,1380
lgv,,,,,242,108,45%,62.97%,1378
proof of ni,,,,,115,28,24%,62.97%,465
help desk,,,,,115,28,24%,62.97%,914
registrar,,,,,88,11,13%,62.97%,794
6146,,,,,207,86,42%,62.97%,1323
grant for new busin,,,,,80,6,8%,62.97%,58
provision licence,,,,,80,6,8%,62.97%,797
find,,,,,126,35,28%,62.97%,916
vaccines,,,,,145,47,32%,62.97%,782
alan derry,,,,,145,47,32%,62.97%,1361
self certification,/taking-sick-leave,3 perfect,3,,137,42,31%,62.97%,192
action fraud,,,,,129,37,29%,62.97%,288
building,,,,,175,66,38%,62.97%,213
abroad,,,,,175,66,38%,62.97%,1020
overseas police check,,,,,194,78,40%,62.97%,764
sa100 2023,,,,,267,124,46%,62.97%,1363
marriage abroad,,,,,205,85,41%,62.97%,1019
king,,,,,105,22,21%,62.97%,1000
presented,,,,,78,5,6%,62.97%,297
school bus pass,,,,,78,5,6%,62.97%,492
start application,,,,,78,5,6%,62.97%,792
rally car,,,,,243,109,45%,62.97%,471
ni registration,/apply-national-insurance-number,3 perfect,3,,89,12,13%,62.97%,465
change of use,,,,,89,12,13%,62.97%,906
transitional protection,,,,,127,36,28%,62.97%,266
ltd company,,,,,300,145,48%,62.97%,55
vat payment plan,,,,,146,48,33%,62.97%,617
car service history,,,,,111,26,23%,62.97%,471
hmc,,,,,76,4,5%,62.97%,1064
qr,,,,,195,79,41%,62.97%,826
sports,,,,,195,79,41%,62.97%,1369
visti,,,,,260,120,46%,62.97%,1362
wifi,,,,,160,57,36%,62.97%,874
petrol,,,,,171,64,37%,62.98%,607
armageddon,,,,,71,1,1%,62.98%,509
cat n,,,,,71,1,1%,62.98%,1473
catering,,,,,190,76,40%,62.98%,66
new logbook,,,,,109,25,23%,62.98%,59
health policy,,,,,109,25,23%,62.98%,182
contact hard,,,,,82,8,10%,62.98%,85
supermarket,,,,,82,8,10%,62.98%,425
non coded income,,,,,155,54,35%,62.98%,246
enforcement,,,,,201,83,41%,62.98%,315
my ni,/check-national-insurance-record,3 perfect,3,,74,3,4%,62.98%,463
doc,,,,,74,3,4%,62.98%,749
london population,,,,,74,3,4%,62.98%,1206
public health england,,,,,120,32,27%,62.98%,182
tell hmrc you're stopping self-employment,,,,,120,32,27%,62.98%,543
post graduate,,,,,93,15,16%,62.98%,831
2022,,,,,93,15,16%,62.98%,992
corby,,,,,93,15,16%,62.98%,1332
nsesa,,,,,112,27,24%,62.98%,1255
sap,,,,,185,73,39%,62.98%,580
how to make a complaint,,,,,85,10,12%,62.98%,917
check my car insurance,,,,,123,34,28%,62.98%,470
brp error,,,,,169,63,37%,62.98%,745
withdraw application,,,,,215,92,43%,62.98%,792
i’ll,,,,,72,2,3%,62.98%,902
prime,,,,,72,2,3%,62.98%,1024
offshore wind,,,,,118,31,26%,62.98%,525
pip helpline,,,,,91,14,15%,62.98%,248
helpline number,,,,,91,14,15%,62.98%,862
[email],,,,,91,14,15%,62.98%,998
rps,,,,,102,21,21%,62.98%,1220
vevor,,,,,148,50,34%,62.98%,1280
online application form,,,,,121,33,27%,62.98%,204
naric,,,,,286,137,48%,62.98%,1330
loa,,,,,78,6,8%,62.98%,1069
form a1,/guidance/tell-hmrc-about-employees-going-to-work-in-the-european-economic-area-ca3822,3 perfect,3,,151,52,34%,62.98%,240
debt relief grant,,,,,124,35,28%,62.98%,406
forum,,,,,97,18,19%,62.98%,761
cpr,,,,,97,18,19%,62.98%,1372
pollution,,,,,189,76,40%,62.98%,223
start now,,,,,89,13,15%,62.98%,936
medical devices,,,,,262,122,47%,62.98%,36
access service,,,,,135,42,31%,62.98%,908
certificate of travel,,,,,81,8,10%,62.98%,781
self cert form,/taking-sick-leave,3 perfect,3,,146,49,34%,62.98%,194
open company,,,,,165,61,37%,62.98%,420
chc,,,,,84,10,12%,62.98%,1122
airbnb,,,,,130,39,30%,62.98%,1364
stalking,,,,,149,51,34%,62.98%,543
correspondence,,,,,95,17,18%,62.98%,820
return to work,,,,,133,41,31%,62.98%,62
hmrc email address,,,,,133,41,31%,62.98%,733
jsp440,,,,,79,7,9%,62.98%,1329
physiotherapy,,,,,98,19,19%,62.98%,34
company passport,,,,,71,2,3%,62.98%,423
camper,,,,,71,2,3%,62.98%,1365
"""parliamentary under secretary of state""",,,,,90,14,16%,62.98%,311
working holiday,,,,,109,26,24%,62.98%,64
get emails,,,,,82,9,11%,62.98%,922
penalty notice,,,,,255,118,46%,62.98%,843
covid,/coronavirus,3 perfect,3,,228,101,44%,62.98%,784
con,,,,,74,4,5%,62.98%,1057
records,,,,,312,154,49%,62.98%,602
organisations,,,,,112,28,25%,62.98%,374
isle of man,,,,,258,120,47%,62.98%,1088
pass after rectification,,,,,231,103,45%,62.98%,779
refugees,,,,,204,86,42%,62.98%,1017
imposition decommissioning expenditure,,,,,69,1,1%,62.98%,209
español,,,,,69,1,1%,62.98%,1315
physiotherapist,,,,,115,30,26%,62.98%,34
archive,,,,,207,88,43%,62.98%,822
landlord checking service,,,,,253,117,46%,62.98%,598
change my number,,,,,99,20,20%,62.98%,861
ipa,,,,,183,73,40%,62.98%,1237
engineering apprenticeships,,,,,83,10,12%,62.98%,605
database,,,,,83,10,12%,62.98%,751
ap,,,,,75,5,7%,62.98%,1066
civil service pay guidance,,,,,86,12,14%,62.98%,439
share transfer,,,,,159,58,36%,62.98%,386
women,,,,,105,24,23%,62.98%,347
tire 2,,,,,70,2,3%,62.98%,962
refuge,,,,,89,14,16%,62.98%,1018
nis,,,,,89,14,16%,62.98%,1231
uber,,,,,81,9,11%,62.98%,1154
currency,,,,,154,55,36%,62.98%,387
change appointment,,,,,173,67,39%,62.98%,805
free bank account for 17yr with debit card,,,,,73,4,5%,62.98%,431
driving jobs,,,,,92,16,17%,62.98%,179
move to the uk,,,,,84,11,13%,62.98%,773
check your pay,,,,,103,23,22%,62.98%,697
customer service number,,,,,76,6,8%,62.98%,421
my aplication,,,,,68,1,1%,62.98%,217
bricklaying,,,,,114,30,26%,62.98%,1340
nursery#,,,,,114,30,26%,62.98%,1395
ccus,,,,,233,105,45%,62.98%,1412
update my passport,,,,,133,42,32%,62.98%,739
complaint universal credit,,,,,106,25,24%,62.98%,461
contact hercules,,,,,179,71,40%,62.98%,867
logging in,,,,,71,3,4%,62.98%,65
pl 36390/0180,,,,,71,3,4%,62.98%,1250
self employed registration,,,,,144,49,34%,62.98%,196
hmrc telephone number,,,,,217,95,44%,62.98%,506
rpw,,,,,90,15,17%,62.98%,1183
cpc code,,,,,82,10,12%,62.98%,724
certificate of good conduct,,,,,128,39,30%,62.98%,597
larry the cat,,,,,93,17,18%,62.98%,145
exceptional assurance,,,,,93,17,18%,62.98%,597
retrofit,,,,,131,41,31%,62.98%,1361
brown bin,,,,,104,24,23%,62.98%,671
my appointment,,,,,69,2,3%,62.98%,293
ecctis,,,,,242,111,46%,62.98%,1290
shareholders,,,,,115,31,27%,62.98%,389
going self employed,,,,,134,43,32%,62.98%,196
residents,,,,,199,84,42%,62.98%,414
dental nurse,,,,,110,28,25%,62.98%,111
helpdesk,,,,,110,28,25%,62.98%,756
online portal,,,,,83,11,13%,62.98%,758
universal kredit,,,,,102,23,23%,62.98%,1310
honours,,,,,275,132,48%,62.98%,1028
warehouse operative,,,,,75,6,8%,62.98%,416
p1000,,,,,94,18,19%,62.98%,1320
council tax 13/03/2023,/browse/housing-local-services/council-tax,2 good,2,,67,1,1%,62.98%,13
council tax 13/03/2023,/council-tax,3 perfect,3,,67,1,1%,62.98%,13
council tax 13/03/2023,/council-tax-bands,3 perfect,3,,67,1,1%,62.98%,13
council tax 13/03/2023,/pay-council-tax,2 good,2,,67,1,1%,62.98%,13
compliant,,,,,67,1,1%,62.98%,230
changa driving test,,,,,67,1,1%,62.98%,243
letter to waverley borough council,,,,,67,1,1%,62.98%,306
harry styles,,,,,67,1,1%,62.98%,1199
exempt,,,,,286,139,49%,62.98%,798
form n138,,,,,78,8,10%,62.98%,207
updating my gov.uk contact details,,,,,70,3,4%,62.98%,867
apostila,,,,,70,3,4%,62.98%,1041
start up grant,,,,,89,15,17%,62.98%,637
supported housing,,,,,135,44,33%,62.98%,418
colp,,,,,135,44,33%,62.98%,1049
sole trader registration,,,,,108,27,25%,62.98%,327
application tracking,,,,,127,39,31%,62.98%,225
ngo,,,,,73,5,7%,62.98%,462
pat,,,,,73,5,7%,62.98%,1095
business name,,,,,165,63,38%,62.98%,807
self sponsor,,,,,84,12,14%,62.98%,192
hca,,,,,84,12,14%,62.98%,1225
eco,,,,,257,121,47%,62.98%,621
how to pay,,,,,176,70,40%,62.98%,696
obtaining birth details from the ministry of defence,,,,,68,2,3%,62.98%,268
newspaper,,,,,68,2,3%,62.98%,824
na,,,,,68,2,3%,62.98%,891
paye employee,,,,,106,26,25%,62.98%,407
government gate way,/log-in-register-hmrc-online-services,2 good,2,,152,55,36%,62.98%,932
trees,,,,,198,84,42%,62.98%,673
care costs,,,,,98,21,21%,62.98%,186
request,,,,,98,21,21%,62.98%,458
high school,,,,,71,4,6%,62.98%,256
cat s,,,,,71,4,6%,62.98%,1470
carers grant,,,,,109,28,26%,62.98%,381
shell,,,,,82,11,13%,62.98%,569
solicitors,,,,,128,40,31%,62.98%,325
royal navy,,,,,101,23,23%,62.98%,999
newborn,,,,,74,6,8%,62.98%,117
sleep,,,,,93,18,19%,62.98%,123
dataset,,,,,93,18,19%,62.98%,751
cds log in,,,,,66,1,2%,62.98%,54
not for profit,,,,,66,1,2%,62.98%,368
maxymilian edmund bojanowski,,,,,66,1,2%,62.98%,1253
civil engineering,,,,,112,30,27%,62.98%,313
numberplates,,,,,85,13,15%,62.98%,864
travel costs,,,,,150,54,36%,62.98%,454
court cases,,,,,123,37,30%,62.98%,359
feedback,,,,,196,83,42%,62.98%,839
uprating,,,,,69,3,4%,62.98%,596
remote working,,,,,80,10,13%,62.98%,61
breast cancer,,,,,126,39,31%,62.98%,121
1,,,,,126,39,31%,62.98%,952
electronic,,,,,191,80,42%,62.98%,606
houses,,,,,91,17,19%,62.98%,161
architecture,,,,,83,12,14%,62.98%,1195
jobs with visa sponsorship,,,,,202,87,43%,62.98%,707
web,,,,,102,24,24%,62.98%,712
quad bike,,,,,102,24,24%,62.98%,1360
armageddon alarm,,,,,75,7,9%,62.98%,509
redlist countries,,,,,67,2,3%,62.98%,819
wind,,,,,86,14,16%,62.98%,525
child protection,,,,,132,43,33%,62.98%,104
conformation statement,,,,,70,4,6%,62.98%,287
government gate,,,,,70,4,6%,62.98%,310
cloned,,,,,70,4,6%,62.98%,1031
hmrc postal address,,,,,143,50,35%,62.98%,507
tenant,,,,,135,45,33%,62.98%,412
moving to uk,,,,,135,45,33%,62.98%,774
homework,,,,,73,6,8%,62.98%,41
boyle construction ltd scotland,,,,,65,1,2%,62.98%,1013
cfo 203,,,,,65,1,2%,62.98%,1394
p9,,,,,238,110,46%,62.98%,1076
access codes,,,,,138,47,34%,62.98%,907
metal detecting,,,,,84,13,15%,62.98%,592
cases,,,,,76,8,11%,62.98%,361
provision license,,,,,76,8,11%,62.98%,797
2020,,,,,76,8,11%,62.98%,985
summary,,,,,149,54,36%,62.98%,820
2135,,,,,168,66,39%,62.98%,1044
cherished number,,,,,68,3,4%,62.98%,864
tax administration and maintenance,/government/collections/tax-administration-and-maintenance-spring-2023,3 perfect,3,,79,10,13%,62.98%,10
referee form,,,,,79,10,13%,62.98%,207
moving to the uk,,,,,125,39,31%,62.98%,774
shengen visa,,,,,98,22,22%,62.98%,705
dva,,,,,71,5,7%,62.98%,1181
id checker,,,,,144,51,35%,62.98%,1453
classification,,,,,117,34,29%,62.98%,226
working holiday visa,,,,,190,80,42%,62.98%,64
renew biometric card,,,,,109,29,27%,62.98%,431
msn,,,,,109,29,27%,62.98%,1172
report a driver,,,,,82,12,15%,62.98%,478
check,,,,,82,12,15%,62.98%,763
activate,,,,,101,24,24%,62.98%,592
auction,,,,,101,24,24%,62.98%,823
banking,,,,,93,19,20%,62.98%,424
nationally significant infrastructure projects reform action plan,,,,,66,2,3%,62.98%,209
mbe,,,,,66,2,3%,62.98%,1201
renewable energy,,,,,212,94,44%,62.98%,612
channel islands,,,,,85,14,16%,62.98%,495
open ltd,,,,,104,26,25%,62.98%,55
lidocaine,,,,,77,9,12%,62.98%,1252
open work permit,,,,,96,21,22%,62.98%,61
warm front,,,,,96,21,22%,62.98%,566
self certified,/taking-sick-leave,3 perfect,3,,69,4,6%,62.98%,192
check my claim,,,,,69,4,6%,62.98%,764
government gatway,,,,,115,33,29%,62.98%,310
plan,,,,,115,33,29%,62.98%,366
sunak taxes,/government/publications/prime-minister-rishi-sunaks-schedule-of-taxable-sources-of-income-and-gains,3 perfect,3,,80,11,14%,62.98%,11
employee helpline,,,,,80,11,14%,62.98%,268
pay prisoner,/send-prisoner-money,3 perfect,3,,80,11,14%,62.98%,699
counselling,,,,,99,23,23%,62.98%,32
constitution,,,,,99,23,23%,62.98%,291
what am i entitled to,,,,,72,6,8%,62.98%,1309
logi,,,,,64,1,2%,62.98%,743
caversham,,,,,64,1,2%,62.98%,1210
iscs,,,,,64,1,2%,62.98%,1268
agency,,,,,137,47,34%,62.98%,47
take home pay,,,,,183,76,42%,62.98%,698
emails,/contact-hmrc,2 good,2,,129,42,33%,62.98%,729
list,,,,,129,42,33%,62.98%,765
p a y e,,,,,75,8,11%,62.98%,1458
per,,,,,67,3,4%,62.98%,1460
open a company,,,,,140,49,35%,62.98%,420
waste collection,,,,,140,49,35%,62.98%,599
further education,,,,,186,78,42%,62.98%,30
rental,,,,,159,61,38%,62.98%,409
form cf38,,,,,70,5,7%,62.98%,207
bike,,,,,143,51,36%,62.98%,1360
sse,,,,,73,7,10%,62.98%,884
prp,,,,,73,7,10%,62.98%,987
charges,,,,,92,19,21%,62.98%,328
chinese,,,,,92,19,21%,62.98%,1012
paid enquiry,,,,,65,2,3%,62.98%,449
charitable organization,,,,,138,48,35%,62.98%,374
bim,,,,,138,48,35%,62.98%,1074
ipr,,,,,84,14,17%,62.98%,142
pay congestion charge,,,,,157,60,38%,62.98%,699
tier,,,,,103,26,25%,62.98%,1371
crime,,,,,276,135,49%,62.98%,339
course providrs,,,,,76,9,12%,62.98%,72
universities,,,,,149,55,37%,62.98%,24
depreciation,,,,,122,38,31%,62.98%,211
ambassador,,,,,122,38,31%,62.98%,1021
resume application,,,,,87,16,18%,62.98%,792
auditor,,,,,87,16,18%,62.98%,841
probate progress,,,,,106,28,26%,62.98%,747
ppn,,,,,179,74,41%,62.98%,573
air bags,,,,,98,23,23%,62.98%,629
pm,,,,,71,6,8%,62.98%,984
travel vaccinations,,,,,117,35,30%,62.98%,781
form j30,,,,,63,1,2%,62.98%,536
log inn,,,,,63,1,2%,62.98%,735
on line help,,,,,63,1,2%,62.98%,933
csi,,,,,63,1,2%,62.98%,1135
emerytury,,,,,63,1,2%,62.98%,1252
conflicts of interest,,,,,109,30,28%,62.98%,72
road closures,,,,,82,13,16%,62.98%,489
special notice,,,,,155,59,38%,62.98%,843
elm,,,,,74,8,11%,62.98%,674
psv,,,,,147,54,37%,62.98%,1173
manufacturing,,,,,120,37,31%,62.98%,238
where to send old passport,,,,,166,66,40%,62.98%,173
dependents,/uk-family-visa,3 perfect,3,,112,32,29%,62.98%,76
https://www.access.service.gov.uk/login/signin/creds,,,,,112,32,29%,62.98%,598
employment,,,,,85,15,18%,62.98%,263
card,,,,,131,44,34%,62.98%,430
check application status,,,,,131,44,34%,62.98%,764
my nhs pension,,,,,96,22,23%,62.98%,586
nutrient neutrality,,,,,169,68,40%,62.98%,131
python,,,,,142,51,36%,62.98%,752
refund visa,,,,,115,34,30%,62.98%,704
application,/sign-in-visa,3 perfect,3,,88,17,19%,62.98%,225
sign in to your uk visa application,,,,,226,104,46%,62.98%,709
making a complaint,,,,,126,41,33%,62.98%,596
bricklayer,,,,,72,7,10%,62.98%,1340
pdf,,,,,245,116,47%,62.98%,42
defibrillator,,,,,118,36,31%,62.98%,130
neighbours check,,,,,64,2,3%,62.98%,764
cherished numbers,,,,,64,2,3%,62.98%,864
pco,,,,,64,2,3%,62.98%,1146
phone number for hmrc,,,,,137,48,35%,62.98%,506
state pension p60,,,,,210,94,45%,62.98%,309
automotive,,,,,83,14,17%,62.98%,238
mcdonalds,,,,,83,14,17%,62.98%,1253
child maintainance,,,,,75,9,12%,62.98%,104
lithium,,,,,67,4,6%,62.98%,127
chickens,,,,,140,50,36%,62.98%,648
vosa,,,,,113,33,29%,62.98%,1042
maintain a trust,,,,,86,16,19%,62.98%,267
epilepsy,,,,,259,125,48%,62.98%,122
msf,,,,,70,6,9%,62.98%,57
vs dhl,,,,,70,6,9%,62.98%,1139
activision,,,,,216,98,45%,62.98%,210
oil rebate,,,,,89,18,20%,62.98%,627
pay slip,,,,,162,64,40%,62.98%,699
case number,,,,,62,1,2%,62.98%,360
a ray for sunshine,,,,,62,1,2%,62.98%,574
f.hodkinson v wood,,,,,62,1,2%,62.98%,1479
company number,,,,,208,93,45%,62.98%,862
green,,,,,181,76,42%,62.98%,659
gov.uk id check app,,,,,254,122,48%,62.98%,1451
community,,,,,127,42,33%,62.98%,222
child dependent visa,,,,,200,88,44%,62.98%,703
jsp 101,,,,,173,71,41%,62.98%,1212
spv,,,,,92,20,22%,62.98%,534
2019,,,,,65,3,5%,62.98%,986
elderly,,,,,111,32,29%,62.98%,109
hardship grant,,,,,84,15,18%,62.98%,381
contact address,,,,,130,44,34%,62.98%,867
test weight,,,,,176,73,41%,62.98%,243
cash gift,,,,,76,10,13%,62.98%,434
advisor,,,,,122,39,32%,62.98%,51
vaccine supply operations lead,,,,,68,5,7%,62.98%,237
vehicle sale,,,,,68,5,7%,62.98%,474
guarantor,,,,,68,5,7%,62.98%,597
ir 35,,,,,68,5,7%,62.98%,1386
non medical prescribing,,,,,87,17,20%,62.98%,246
portsmouth,,,,,87,17,20%,62.98%,1205
update employment details,,,,,152,58,38%,62.98%,739
railway,,,,,98,24,24%,62.98%,487
business search,,,,,90,19,21%,62.98%,424
pbs dependant,,,,,90,19,21%,62.98%,1407
pas,,,,,63,2,3%,62.98%,1106
chelsea fc,,,,,63,2,3%,62.98%,1324
101,,,,,82,14,17%,62.98%,1391
film,,,,,101,26,26%,62.98%,1189
recovery,,,,,74,9,12%,62.98%,71
mariage,,,,,74,9,12%,62.98%,1032
dispute,,,,,93,21,23%,62.98%,289
hiv,,,,,266,130,49%,62.98%,1187
kids,,,,,66,4,6%,62.98%,114
amend,,,,,112,33,29%,62.98%,447
codicil,,,,,112,33,29%,62.98%,1253
cannabis,,,,,285,142,50%,62.98%,37
work place pensions,,,,,85,16,19%,62.98%,62
blue card,,,,,85,16,19%,62.98%,429
greggs,,,,,85,16,19%,62.98%,1311
lost logbook,,,,,131,45,34%,62.98%,769
electrical installation,,,,,77,11,14%,62.98%,606
online assistant,,,,,96,23,24%,62.98%,49
tea,,,,,96,23,24%,62.98%,655
oyster card,,,,,142,52,37%,62.98%,431
tax credits over payments,/tax-credits-overpayments/repay-your-tax-credits,3 perfect,3,,88,18,20%,62.98%,10
chat on line,/contact-hmrc,3 perfect,3,,61,1,2%,62.98%,870
diesel emissions claim,,,,,80,13,16%,62.98%,608
sw7,,,,,80,13,16%,62.98%,887
track your visa application,,,,,126,42,33%,62.98%,702
maps,,,,,172,71,41%,62.98%,715
apostil,,,,,118,37,31%,62.98%,1041
time,,,,,183,78,43%,62.98%,90
employer ni,,,,,83,15,18%,62.98%,465
devops,,,,,83,15,18%,62.98%,543
single mother,,,,,129,44,34%,62.98%,550
citizen advice,,,,,102,27,26%,62.98%,836
derby,,,,,102,27,26%,62.98%,1325
milton keynes,,,,,75,10,13%,62.98%,1207
certification,,,,,94,22,23%,62.98%,224
shipping,,,,,94,22,23%,62.98%,601
migration,,,,,186,80,43%,62.98%,216
covid isolation,,,,,205,92,45%,62.98%,784
how to claim tax back,/claim-tax-refund,3 perfect,3,,78,12,15%,62.98%,10
non profit,,,,,78,12,15%,62.98%,246
right of access,,,,,270,133,49%,62.98%,908
asp,,,,,70,7,10%,62.98%,1355
waste management,,,,,116,36,31%,62.98%,599
public notice 372,,,,,62,2,3%,62.98%,324
hazardous waste regulations,,,,,62,2,3%,62.98%,599
ni 38 form,/government/publications/social-security-abroad-ni38,3 perfect,3,,108,31,29%,62.98%,467
pay my council tax,/pay-council-tax,3 perfect,3,,81,14,17%,62.98%,8
how much do i owe,,,,,127,43,34%,62.98%,436
care homes with sponsorship,,,,,100,26,26%,62.98%,69
inspection,,,,,173,72,42%,62.98%,227
highways,,,,,119,38,32%,62.98%,489
vaf,,,,,119,38,32%,62.98%,1097
hmlr,,,,,92,21,23%,62.98%,1043
mid,,,,,65,4,6%,62.98%,996
assistant,,,,,84,16,19%,62.98%,49
play,,,,,84,16,19%,62.98%,889
ni history,/check-national-insurance-record,3 perfect,3,,103,28,27%,62.98%,465
animals,,,,,149,57,38%,62.98%,144
crown court,,,,,149,57,38%,62.98%,359
uninhabitable property,,,,,95,23,24%,62.98%,413
blue light card,,,,,68,6,9%,62.98%,429
nhs exemption,,,,,68,6,9%,62.98%,586
primary teacher,,,,,68,6,9%,62.98%,1339
premium,,,,,241,115,48%,62.98%,443
knife crime,,,,,114,35,31%,62.98%,339
guidence,,,,,60,1,2%,62.98%,837
disability card,,,,,71,8,11%,62.98%,431
personal tac,,,,,144,54,38%,62.98%,258
ashes,,,,,63,3,5%,62.98%,563
custom declaration service,,,,,136,49,36%,62.98%,600
architect,,,,,109,32,29%,62.98%,1195
blackburn,,,,,109,32,29%,62.98%,1207
self defence,,,,,82,15,18%,62.98%,192
e-mail,,,,,82,15,18%,62.98%,1455
adult education,,,,,128,44,34%,62.98%,108
g form,,,,,74,10,14%,62.98%,1463
sales,,,,,120,39,33%,62.98%,427
letter of consent,,,,,120,39,33%,62.98%,842
bills,,,,,166,68,41%,62.98%,362
southend,,,,,96,24,25%,62.98%,1205
customer support,,,,,69,7,10%,62.98%,421
twitter,,,,,88,19,22%,62.98%,760
find out about money taken off my universal credit payment,,,,,80,14,18%,62.98%,937
templates,,,,,72,9,13%,62.98%,756
p2,,,,,91,21,23%,62.98%,1008
add a tax,/browse/tax,1 okay,1,,83,16,19%,62.98%,1
cop,,,,,102,28,27%,62.98%,1096
public health policy,,,,,86,18,21%,62.98%,182
home for ukraines,,,,,59,1,2%,62.98%,160
form 19,,,,,59,1,2%,62.98%,966
d187,,,,,59,1,2%,62.98%,1039
ppp,,,,,78,13,17%,62.98%,1077
employee ownership trust,,,,,116,37,32%,62.98%,267
plastering,,,,,62,3,5%,62.98%,592
identity fraud,,,,,81,15,19%,62.98%,279
change my contact details,,,,,81,15,19%,62.98%,805
early years outcomes,,,,,100,27,27%,62.98%,94
sabbatical,,,,,73,10,14%,62.98%,27
age allowance,,,,,73,10,14%,62.98%,174
work for myself,,,,,65,5,8%,62.98%,62
cheese,,,,,65,5,8%,62.98%,648
where to apply,,,,,65,5,8%,62.98%,903
dmc,,,,,65,5,8%,62.98%,1071
self sponsor visa,,,,,111,34,31%,62.98%,195
resume,,,,,103,29,28%,62.98%,792
home working allowance,/tax-relief-for-employees/working-at-home,3 perfect,3,,76,12,16%,62.98%,64
nest,,,,,195,87,45%,62.98%,643
superannuation,,,,,95,24,25%,62.98%,211
coal,,,,,95,24,25%,62.98%,1295
hgv inspection manual,,,,,87,19,22%,62.98%,137
dental care,,,,,87,19,22%,62.98%,188
caregivers,,,,,60,2,3%,62.98%,105
change adres,,,,,60,2,3%,62.98%,805
form 2,,,,,60,2,3%,62.98%,964
update bank details,,,,,106,31,29%,62.98%,383
change vehicle ownership,,,,,125,43,34%,62.98%,480
citb,,,,,125,43,34%,62.98%,1353
move to the uk if you're coming from ukraine,,,,,117,38,32%,62.98%,543
grammar schools,/government/consultations/schools-that-work-for-everyone,1 okay,1,,90,21,23%,62.98%,22
gb,,,,,63,4,6%,62.98%,994
sc1 form,,,,,63,4,6%,62.98%,1117
healthcare assistant jobs,,,,,82,16,20%,62.98%,190
nurses,,,,,128,45,35%,62.98%,110
tac code,,,,,101,28,28%,62.98%,258
glossary,,,,,174,74,43%,62.98%,820
companies with sponsorship,,,,,147,57,39%,62.98%,70
service charges,,,,,93,23,25%,62.98%,422
enquiries,,,,,166,69,42%,62.98%,325
congestion charges,,,,,166,69,42%,62.98%,328
travel discount card,,,,,66,6,9%,62.98%,431
section 6,,,,,112,35,31%,62.98%,963
don’t,,,,,58,1,2%,62.98%,892
nato,,,,,131,47,36%,62.98%,132
financial statement,,,,,104,30,29%,62.98%,274
tm1,,,,,96,25,26%,62.98%,1005
park home electric rebate,,,,,69,8,12%,62.98%,160
red list countries,/guidance/travel-to-england-from-another-country-during-coronavirus-covid-19,2 good,2,,69,8,12%,62.98%,657
fail,,,,,142,54,38%,62.98%,84
year end,,,,,88,20,23%,62.98%,991
breastfeeding,,,,,161,66,41%,62.98%,131
call dvla,,,,,107,32,30%,62.98%,866
notifications,,,,,80,15,19%,62.98%,226
complaints universal credit,,,,,80,15,19%,62.98%,461
gov.uk app,,,,,80,15,19%,62.98%,714
cf38 form,,,,,72,10,14%,62.98%,207
ppa,,,,,72,10,14%,62.98%,1223
advance funding,,,,,64,5,8%,62.98%,379
heathrow,,,,,64,5,8%,62.98%,1361
ssas,,,,,83,17,20%,62.98%,1047
certificates,,,,,229,109,48%,62.98%,224
accident at work,,,,,129,46,36%,62.98%,62
